working dir: /data/zjl/192-torch2/VideoX-master/X-CLIP/Output/
Train: [0/300][0/9356]	eta 10:48:19 lr 0.000000000	time 4.1577 (4.1577)	tot_loss 0.5031 (0.5031)	mem 3757MB
Train: [0/300][50/9356]	eta 1:01:53 lr 0.000000002	time 0.3251 (0.3991)	tot_loss 0.9419 (0.7155)	mem 6733MB
Train: [0/300][100/9356]	eta 0:56:58 lr 0.000000004	time 0.2853 (0.3694)	tot_loss 1.0932 (0.6863)	mem 6733MB
Train: [0/300][150/9356]	eta 0:54:51 lr 0.000000006	time 0.3335 (0.3576)	tot_loss 0.8651 (0.6740)	mem 6733MB
Train: [0/300][200/9356]	eta 0:54:07 lr 0.000000009	time 0.3288 (0.3547)	tot_loss 1.0989 (0.6605)	mem 6733MB
Train: [0/300][250/9356]	eta 0:52:39 lr 0.000000011	time 0.3050 (0.3470)	tot_loss 0.3224 (0.6613)	mem 6733MB
Train: [0/300][300/9356]	eta 0:52:35 lr 0.000000013	time 0.3228 (0.3484)	tot_loss 1.1401 (0.6476)	mem 6733MB
Train: [0/300][350/9356]	eta 0:51:48 lr 0.000000015	time 0.3727 (0.3452)	tot_loss 0.3665 (0.6344)	mem 6733MB
Train: [0/300][400/9356]	eta 0:52:37 lr 0.000000017	time 0.3823 (0.3526)	tot_loss 0.6682 (0.6360)	mem 6733MB
Train: [0/300][450/9356]	eta 0:52:51 lr 0.000000019	time 0.3885 (0.3561)	tot_loss 0.8194 (0.6297)	mem 6733MB
Train: [0/300][500/9356]	eta 0:53:08 lr 0.000000021	time 0.3937 (0.3600)	tot_loss 1.0788 (0.6276)	mem 6733MB
Train: [0/300][550/9356]	eta 0:53:24 lr 0.000000023	time 0.4188 (0.3639)	tot_loss 0.7971 (0.6220)	mem 6733MB
Train: [0/300][600/9356]	eta 0:53:42 lr 0.000000026	time 0.3833 (0.3680)	tot_loss 0.2995 (0.6170)	mem 6733MB
Train: [0/300][650/9356]	eta 0:53:22 lr 0.000000028	time 0.3489 (0.3678)	tot_loss 1.1984 (0.6120)	mem 6733MB
Train: [0/300][700/9356]	eta 0:53:18 lr 0.000000030	time 0.4134 (0.3695)	tot_loss 0.3180 (0.6047)	mem 6733MB
Train: [0/300][750/9356]	eta 0:53:06 lr 0.000000032	time 0.3939 (0.3703)	tot_loss 0.5512 (0.6036)	mem 6734MB
Train: [0/300][800/9356]	eta 0:53:07 lr 0.000000034	time 0.3833 (0.3725)	tot_loss 0.3732 (0.5985)	mem 6734MB
Train: [0/300][850/9356]	eta 0:52:56 lr 0.000000036	time 0.3881 (0.3734)	tot_loss 0.4453 (0.5924)	mem 6734MB
Train: [0/300][900/9356]	eta 0:52:47 lr 0.000000038	time 0.4078 (0.3746)	tot_loss 0.2319 (0.5856)	mem 6734MB
Train: [0/300][950/9356]	eta 0:52:37 lr 0.000000040	time 0.3435 (0.3756)	tot_loss 0.7577 (0.5801)	mem 6734MB
Train: [0/300][1000/9356]	eta 0:52:33 lr 0.000000043	time 0.3817 (0.3774)	tot_loss 0.4831 (0.5782)	mem 6734MB
Train: [0/300][1050/9356]	eta 0:52:21 lr 0.000000045	time 0.4082 (0.3783)	tot_loss 0.5880 (0.5756)	mem 6734MB
Train: [0/300][1100/9356]	eta 0:52:10 lr 0.000000047	time 0.3758 (0.3792)	tot_loss 0.4232 (0.5717)	mem 6734MB
Train: [0/300][1150/9356]	eta 0:51:46 lr 0.000000049	time 0.3690 (0.3786)	tot_loss 0.4240 (0.5686)	mem 6734MB
Train: [0/300][1200/9356]	eta 0:51:31 lr 0.000000051	time 0.3843 (0.3790)	tot_loss 0.4275 (0.5663)	mem 6734MB
Train: [0/300][1250/9356]	eta 0:51:17 lr 0.000000053	time 0.3611 (0.3797)	tot_loss 0.8345 (0.5632)	mem 6734MB
Train: [0/300][1300/9356]	eta 0:51:05 lr 0.000000056	time 0.4048 (0.3806)	tot_loss 0.5272 (0.5606)	mem 6734MB
Train: [0/300][1350/9356]	eta 0:50:47 lr 0.000000058	time 0.3835 (0.3807)	tot_loss 0.8242 (0.5580)	mem 6734MB
Train: [0/300][1400/9356]	eta 0:50:33 lr 0.000000060	time 0.4426 (0.3812)	tot_loss 0.4582 (0.5552)	mem 6734MB
Train: [0/300][1450/9356]	eta 0:50:12 lr 0.000000062	time 0.3330 (0.3810)	tot_loss 0.4871 (0.5524)	mem 6734MB
Train: [0/300][1500/9356]	eta 0:49:53 lr 0.000000064	time 0.3670 (0.3811)	tot_loss 0.3249 (0.5499)	mem 6734MB
Train: [0/300][1550/9356]	eta 0:49:29 lr 0.000000066	time 0.3475 (0.3804)	tot_loss 0.3839 (0.5476)	mem 6734MB
Train: [0/300][1600/9356]	eta 0:49:12 lr 0.000000068	time 0.4325 (0.3806)	tot_loss 0.3117 (0.5458)	mem 6734MB
Train: [0/300][1650/9356]	eta 0:48:50 lr 0.000000070	time 0.3610 (0.3802)	tot_loss 0.4061 (0.5435)	mem 6734MB
Train: [0/300][1700/9356]	eta 0:48:31 lr 0.000000073	time 0.3989 (0.3803)	tot_loss 0.2981 (0.5407)	mem 6734MB
Train: [0/300][1750/9356]	eta 0:48:09 lr 0.000000075	time 0.3788 (0.3799)	tot_loss 0.4219 (0.5394)	mem 6734MB
Train: [0/300][1800/9356]	eta 0:47:52 lr 0.000000077	time 0.3370 (0.3802)	tot_loss 0.5954 (0.5380)	mem 6735MB
