working dir: /data/zjl/192-torch2/VideoX-master/X-CLIP/Output/
Train: [0/300][0/9356]	eta 17:02:05 lr 0.000000000	time 6.5546 (6.5546)	tot_loss 0.5031 (0.5031)	mem 3753MB
Train: [0/300][50/9356]	eta 1:01:34 lr 0.000000002	time 0.2566 (0.3969)	tot_loss 0.9426 (0.6506)	mem 6722MB
Train: [0/300][100/9356]	eta 0:49:44 lr 0.000000004	time 0.2116 (0.3224)	tot_loss 1.0944 (0.6673)	mem 6722MB
Train: [0/300][150/9356]	eta 0:44:32 lr 0.000000006	time 0.2097 (0.2903)	tot_loss 0.8152 (0.6657)	mem 6722MB
Train: [0/300][200/9356]	eta 0:42:06 lr 0.000000009	time 0.2297 (0.2760)	tot_loss 1.0930 (0.6611)	mem 6722MB
Train: [0/300][250/9356]	eta 0:41:00 lr 0.000000011	time 0.2072 (0.2702)	tot_loss 0.3199 (0.6643)	mem 6722MB
Train: [0/300][300/9356]	eta 0:39:43 lr 0.000000013	time 0.2182 (0.2632)	tot_loss 1.1076 (0.6582)	mem 6722MB
Train: [0/300][350/9356]	eta 0:39:01 lr 0.000000015	time 0.2393 (0.2600)	tot_loss 0.4817 (0.6512)	mem 6722MB
Train: [0/300][400/9356]	eta 0:38:51 lr 0.000000017	time 0.2677 (0.2603)	tot_loss 0.9352 (0.6444)	mem 6722MB
Train: [0/300][450/9356]	eta 0:38:28 lr 0.000000019	time 0.2185 (0.2592)	tot_loss 0.8816 (0.6363)	mem 6722MB
Train: [0/300][500/9356]	eta 0:38:06 lr 0.000000021	time 0.2265 (0.2582)	tot_loss 1.0356 (0.6372)	mem 6722MB
Train: [0/300][550/9356]	eta 0:37:46 lr 0.000000023	time 0.2325 (0.2573)	tot_loss 0.9718 (0.6319)	mem 6722MB
Train: [0/300][600/9356]	eta 0:37:27 lr 0.000000026	time 0.2425 (0.2567)	tot_loss 0.2977 (0.6275)	mem 6722MB
Train: [0/300][650/9356]	eta 0:37:15 lr 0.000000028	time 0.2367 (0.2568)	tot_loss 1.2039 (0.6219)	mem 6722MB
Train: [0/300][700/9356]	eta 0:37:17 lr 0.000000030	time 0.2664 (0.2585)	tot_loss 0.3479 (0.6147)	mem 6722MB
Train: [0/300][750/9356]	eta 0:37:10 lr 0.000000032	time 0.2119 (0.2591)	tot_loss 0.5801 (0.6123)	mem 6722MB
Train: [0/300][800/9356]	eta 0:36:47 lr 0.000000034	time 0.2226 (0.2580)	tot_loss 0.8777 (0.6072)	mem 6722MB
Train: [0/300][850/9356]	eta 0:36:33 lr 0.000000036	time 0.2581 (0.2579)	tot_loss 0.5160 (0.6015)	mem 6722MB
Train: [0/300][900/9356]	eta 0:36:35 lr 0.000000038	time 0.2583 (0.2596)	tot_loss 0.2242 (0.5945)	mem 6722MB
Train: [0/300][950/9356]	eta 0:36:27 lr 0.000000040	time 0.2586 (0.2603)	tot_loss 0.6021 (0.5910)	mem 6722MB
Train: [0/300][1000/9356]	eta 0:36:30 lr 0.000000043	time 0.3162 (0.2622)	tot_loss 0.7936 (0.5885)	mem 6722MB
Train: [0/300][1050/9356]	eta 0:36:30 lr 0.000000045	time 0.2696 (0.2637)	tot_loss 0.5939 (0.5858)	mem 6722MB
Train: [0/300][1100/9356]	eta 0:36:28 lr 0.000000047	time 0.3250 (0.2651)	tot_loss 0.4915 (0.5818)	mem 6722MB
Train: [0/300][1150/9356]	eta 0:36:28 lr 0.000000049	time 0.2986 (0.2667)	tot_loss 0.3490 (0.5776)	mem 6722MB
Train: [0/300][1200/9356]	eta 0:36:23 lr 0.000000051	time 0.2768 (0.2677)	tot_loss 0.2934 (0.5755)	mem 6722MB
Train: [0/300][1250/9356]	eta 0:36:17 lr 0.000000053	time 0.2681 (0.2687)	tot_loss 0.8126 (0.5716)	mem 6722MB
Train: [0/300][1300/9356]	eta 0:36:08 lr 0.000000056	time 0.2857 (0.2692)	tot_loss 0.5790 (0.5691)	mem 6722MB
Train: [0/300][1350/9356]	eta 0:36:02 lr 0.000000058	time 0.2524 (0.2702)	tot_loss 0.8588 (0.5659)	mem 6722MB
Train: [0/300][1400/9356]	eta 0:35:55 lr 0.000000060	time 0.2600 (0.2709)	tot_loss 0.5025 (0.5633)	mem 6722MB
Train: [0/300][1450/9356]	eta 0:35:47 lr 0.000000062	time 0.2605 (0.2716)	tot_loss 0.4343 (0.5603)	mem 6722MB
Train: [0/300][1500/9356]	eta 0:35:36 lr 0.000000064	time 0.2651 (0.2720)	tot_loss 0.2768 (0.5583)	mem 6722MB
Train: [0/300][1550/9356]	eta 0:35:27 lr 0.000000066	time 0.2607 (0.2725)	tot_loss 0.3697 (0.5556)	mem 6722MB
Train: [0/300][1600/9356]	eta 0:35:16 lr 0.000000068	time 0.2619 (0.2728)	tot_loss 0.4894 (0.5536)	mem 6722MB
Train: [0/300][1650/9356]	eta 0:35:03 lr 0.000000070	time 0.2631 (0.2729)	tot_loss 0.4989 (0.5514)	mem 6722MB
Train: [0/300][1700/9356]	eta 0:34:53 lr 0.000000073	time 0.2974 (0.2734)	tot_loss 0.2887 (0.5489)	mem 6722MB
Train: [0/300][1750/9356]	eta 0:34:43 lr 0.000000075	time 0.2698 (0.2740)	tot_loss 0.5089 (0.5471)	mem 6722MB
Train: [0/300][1800/9356]	eta 0:34:33 lr 0.000000077	time 0.2735 (0.2744)	tot_loss 0.6813 (0.5453)	mem 6722MB
Train: [0/300][1850/9356]	eta 0:34:20 lr 0.000000079	time 0.2560 (0.2745)	tot_loss 0.4624 (0.5428)	mem 6722MB
Train: [0/300][1900/9356]	eta 0:34:08 lr 0.000000081	time 0.2529 (0.2748)	tot_loss 0.3825 (0.5410)	mem 6722MB
Train: [0/300][1950/9356]	eta 0:33:56 lr 0.000000083	time 0.3186 (0.2750)	tot_loss 0.3665 (0.5390)	mem 6722MB
