working dir: /data/zjl/192-torch2/VideoX-master/X-CLIP/Output/
Train: [0/300][2150/9358]	eta 0:37:29 lr 0.000000092	time 0.3154 (0.3121)	tot_loss 0.2537 (0.5249)	mem 6729MB
Train: [0/300][2200/9358]	eta 0:37:12 lr 0.000000094	time 0.3663 (0.3119)	tot_loss 0.5399 (0.5240)	mem 6729MB
Train: [0/300][2250/9358]	eta 0:37:00 lr 0.000000096	time 0.3018 (0.3123)	tot_loss 0.3309 (0.5221)	mem 6729MB
Train: [0/300][2300/9358]	eta 0:36:44 lr 0.000000098	time 0.2905 (0.3123)	tot_loss 0.4634 (0.5211)	mem 6729MB
Train: [0/300][2350/9358]	eta 0:36:28 lr 0.000000100	time 0.2618 (0.3123)	tot_loss 0.4175 (0.5200)	mem 6729MB
Train: [0/300][2400/9358]	eta 0:36:11 lr 0.000000103	time 0.3147 (0.3121)	tot_loss 0.5472 (0.5191)	mem 6729MB
Train: [0/300][2450/9358]	eta 0:35:57 lr 0.000000105	time 0.3526 (0.3123)	tot_loss 0.4952 (0.5180)	mem 6729MB
Train: [0/300][2500/9358]	eta 0:35:41 lr 0.000000107	time 0.2835 (0.3122)	tot_loss 0.2930 (0.5170)	mem 6729MB
Train: [0/300][2550/9358]	eta 0:35:25 lr 0.000000109	time 0.2720 (0.3122)	tot_loss 0.4946 (0.5154)	mem 6729MB
Train: [0/300][2600/9358]	eta 0:35:09 lr 0.000000111	time 0.3130 (0.3122)	tot_loss 0.4525 (0.5144)	mem 6729MB
Train: [0/300][2650/9358]	eta 0:34:51 lr 0.000000113	time 0.2398 (0.3118)	tot_loss 0.3965 (0.5132)	mem 6729MB
Train: [0/300][2700/9358]	eta 0:34:36 lr 0.000000115	time 0.2791 (0.3118)	tot_loss 0.3953 (0.5119)	mem 6729MB
Train: [0/300][2750/9358]	eta 0:34:17 lr 0.000000117	time 0.2731 (0.3114)	tot_loss 0.3772 (0.5112)	mem 6729MB
Train: [0/300][2800/9358]	eta 0:33:59 lr 0.000000120	time 0.2835 (0.3110)	tot_loss 0.4880 (0.5098)	mem 6729MB
Train: [0/300][2850/9358]	eta 0:33:43 lr 0.000000122	time 0.2920 (0.3110)	tot_loss 0.5447 (0.5092)	mem 6729MB
Train: [0/300][2900/9358]	eta 0:33:27 lr 0.000000124	time 0.2616 (0.3108)	tot_loss 0.4985 (0.5082)	mem 6729MB
Train: [0/300][2950/9358]	eta 0:33:10 lr 0.000000126	time 0.2702 (0.3106)	tot_loss 0.5126 (0.5075)	mem 6729MB
Train: [0/300][3000/9358]	eta 0:32:54 lr 0.000000128	time 0.3062 (0.3105)	tot_loss 0.3805 (0.5069)	mem 6729MB
Train: [0/300][3050/9358]	eta 0:32:39 lr 0.000000130	time 0.3360 (0.3107)	tot_loss 0.3721 (0.5056)	mem 6729MB
Train: [0/300][3100/9358]	eta 0:32:24 lr 0.000000132	time 0.3001 (0.3107)	tot_loss 0.3516 (0.5047)	mem 6729MB
Train: [0/300][3150/9358]	eta 0:32:10 lr 0.000000135	time 0.2731 (0.3110)	tot_loss 0.4036 (0.5036)	mem 6729MB
Train: [0/300][3200/9358]	eta 0:31:55 lr 0.000000137	time 0.2953 (0.3111)	tot_loss 0.3643 (0.5023)	mem 6729MB
Train: [0/300][3250/9358]	eta 0:31:39 lr 0.000000139	time 0.3400 (0.3110)	tot_loss 0.3811 (0.5011)	mem 6729MB
Train: [0/300][3300/9358]	eta 0:31:23 lr 0.000000141	time 0.2784 (0.3109)	tot_loss 0.3332 (0.4999)	mem 6729MB
Train: [0/300][3350/9358]	eta 0:31:07 lr 0.000000143	time 0.2989 (0.3109)	tot_loss 0.3748 (0.4989)	mem 6729MB
Train: [0/300][3400/9358]	eta 0:30:51 lr 0.000000145	time 0.3118 (0.3107)	tot_loss 0.6095 (0.4981)	mem 6729MB
Train: [0/300][3450/9358]	eta 0:30:35 lr 0.000000147	time 0.3227 (0.3107)	tot_loss 0.3603 (0.4972)	mem 6729MB
Train: [0/300][3500/9358]	eta 0:30:19 lr 0.000000150	time 0.3143 (0.3106)	tot_loss 0.5017 (0.4970)	mem 6729MB
Train: [0/300][3550/9358]	eta 0:30:04 lr 0.000000152	time 0.2963 (0.3107)	tot_loss 0.5159 (0.4962)	mem 6729MB
Train: [0/300][3600/9358]	eta 0:29:47 lr 0.000000154	time 0.3061 (0.3105)	tot_loss 0.4063 (0.4953)	mem 6729MB
Train: [0/300][3650/9358]	eta 0:29:32 lr 0.000000156	time 0.2569 (0.3105)	tot_loss 0.4247 (0.4944)	mem 6729MB
Train: [0/300][3700/9358]	eta 0:29:15 lr 0.000000158	time 0.2730 (0.3103)	tot_loss 0.2966 (0.4934)	mem 6729MB
Train: [0/300][3750/9358]	eta 0:28:58 lr 0.000000160	time 0.2852 (0.3100)	tot_loss 0.3667 (0.4933)	mem 6729MB
Train: [0/300][3800/9358]	eta 0:28:40 lr 0.000000162	time 0.2451 (0.3096)	tot_loss 0.4312 (0.4926)	mem 6729MB
Train: [0/300][3850/9358]	eta 0:28:23 lr 0.000000164	time 0.2769 (0.3093)	tot_loss 0.4873 (0.4917)	mem 6729MB
Train: [0/300][3900/9358]	eta 0:28:08 lr 0.000000167	time 0.3280 (0.3094)	tot_loss 0.4003 (0.4908)	mem 6729MB
Train: [0/300][3950/9358]	eta 0:27:52 lr 0.000000169	time 0.2644 (0.3093)	tot_loss 0.5981 (0.4899)	mem 6729MB
Train: [0/300][4000/9358]	eta 0:27:34 lr 0.000000171	time 0.2609 (0.3088)	tot_loss 0.5915 (0.4889)	mem 6729MB
